,qu,qa,ans,is_duplicate
133,how can i help animals in my city,how do you help animals,"Adoption One of to! Send a sum of yours to some rescue- team! Volunteer,, give s little of your. Time!!!",1
134,what is the expected cutoff for kvpy sa 2016 17,how was kvpy sa 2016 how does it compare to previous year papers what is your expected cutoff for it,"Dear all KVPY candidates, here I am showing KVPY 2016 expected cutoff. KVPY Result will be announced in 3rd week December 2016.Check below image to know KVPY cutoff ( Click on image to enlarge)For more queries, comment me. Don't forget to Upvote :)",1
135,what is the coldest country in the world why is it so cold,which is the coldest country in the world,Greenland. It is by far the coolest country in the world. Why? Well it is almost entirely covered in a thick ice-sheet:,1
136,what do you think about justin bieber,what do you think of justin bieber,Good singer! What else can I say?  :)Umm...Like his new songs a lot.SorryLove YourselfWhat do you mean?Take everyone's heart with Baby!,1
137,which are the best sites to practice programming,what are the best websites to practice programming,"Try this book, it has many exercises. The Algorithm Design Manual, by Steven Skiena.",1
138,which url has to be used to create a blog on quora,what should be the url to create blog on quora,"A url is the highlighted yellow text. You can get ""url"" by creating a blog from another place like wordpress or blogger. ",1
139,what are some common examples of renewable resources,how do you distinguish between renewable and nonrenewable resources what are some examples,Renewable Energy Resources: They can be naturally replenished and will never run out. Examples :Solar energyWind EnergyHydro-powerTidal EnergyBiomassNon Renewable Energy Resources: They cannot be naturally replenished and will eventually run out. ExamplesCoalPetroleumNatural Gas,1
140,why did world war 1 started what were the effects,why did world war 1 take place what were the political causes,"This Serbian Nationalist twat killed some Hungarian king or prince or some shit and Serbia and Hungary got pissed at each other and started calling their allies Serbia with Russia, France and Britan and Hungary With Germany and The Ottomans. Then the U.S.A came in to help and Japan decided I want to get in on this too took some colonies of Germany's after asking Britan.",1
141,is gta iv released on android,when will gta 4 be released on smartphones,"5 to 10 years may be. GTA 4 was powerful and graphics intensive game. I might run on Nvidia Shield K1 chipset but not Qualcomm or mediatek chipsets, they do not have graphical prowess which need to run that big game and other problem is storage. GTA 4 is a big game so it will take lot of storage in phone.",1
142,how can i stop maladaptive daydreaming,how do i stop my maladaptive daydreaming,"Well, don't stop it, replace it. Find something else to fill the hole. I started believing in ghosts and the paranormal, and now people call me crazy for a different reason then MDD. But I don't daydream as much. Anyway, replace it with something that requires you to focus on the real world, and pay attention. And meditate.",1
143,what is it like being a doctor,what s it like being a doctor,all depends on the person you marry despite his profession.,1
144,what is the main reason for discontinuing 500 and 1000 rupees note in india what are the pros and cons of it,what are the pros and cons in the various sectors of the indian economy by banning indian rupees of 500 and 1000 notes what lead to this short notice by pm narendra modi,"Yes it is true and India is in very best time since independence.Best move by honorable prime minister Modi ji, we all shall salute him for his best move on his part.Allllll it is for to club black money.India accounts for 48000 crorepaties by survey of income tax.Now is the time we are close to call my india a developed nation.Jai hind.",1
145,how do i fix a broken sleep schedule,how can i change my sleep schedule,Read my answer here Chetna Khanna's answer to How do I get rid of improper sleeping habits?,1
146,where did hillary clinton go wrong in winning presidential elections,how did hillary clinton mess up her chances of winning america presidential election,By having no respect for classified documents. Also her support for Obamacare.,1
147,do you think mike pence would be a better republican presidential candidate than donald trump,would mike pence be a better us president than donald trump,"What's wrong with Trump,he is doing okay",1
148,how reliable are answers on quora even with thousands of up votes,how reliable are answers on quora,Yes!*  *for selected subsets of knowledge.,1
149,how do i give suggestions for self hypnosis,what are some good books for learning how to induce yourself into trance or self hypnosis,"If you want to achieve your goals, Learn Self Hypnosis to Fulfill Your Goals Dreams and Desires",1
150,what are the most beautiful places to visit in india during monsoon season,what are the best places to visit in india during monsoon season,"Raigad FortLavasaMahabaleshwarPanshet DamTamhini Ghat,  ",1
151,why cant india expose pakistan s support to terrorists by releasing video of surgical strikes,should india make surgical strike video public,"Watch this parody video on how pakistan general back biting Anti Indian Nationals Aravind kejriwal, Rahul Gandhi and Digvijay Singh for the failure in spreading fake news against surgical strikeVidolee | Facebook",1
152,how can i be so attentive in my studies,how can i be attentive to study,"Write down what the teacher says, ON PAPER, but don't pay attention. Don't write notes, write scribbles and subconsciously listen. Let what the teacher says guide your hand as you scribbles, so that you draw or write what they says without paying attention. Then what is taught is in your subconscious, and you'll not only remember it for life, but actually be able to use it.",1
153,why do people say hillary clinton is a crook,why do people think hillary clinton is corrupt,From Freedom of Tyranny's page. Thanks to Ryan Wagner.,1
154,how do i build my e commerce online store,how do i make a website and an e commerce online store,Try out the storenk dot comEasy to use Easy to setup Easy to runAll features are in built No hassel to hire developer and designer for your estore,1
155,how can i speak fluent english with accuracy,how can i become fluent in english faster,What is the best way to learn and be fluent in a language?How do I quickly and efficiently learn a new language?,1
156,if god is real why would he create people that don t believe in him,why did god create people who he knows wouldn t believe in him later in life,God created man to be in the image of God.So maybe God has self doubts.,1
157,what is an internship,what is the meaning of an internship,It is on the job training for white collar jobs (akin to apprenticeships in blue collar jobs).  See the Wikipedia page on  Internship,1
158,will humans ever create energy from mass or vice versa,can we turn mass to energy and vice versa or is it theoretical only,Creating energy from mass is how nuclear reactors and bomb work.  Creating mass can be done in the lab but only at the scale of a few particles.http://en.wikipedia.org/wiki/Pai...,1
159,how do i start up a new cafe,how do i start a cafe,Step 1) Find a coffee shopStep 2) Go to the coffee shopStep 3) Open the door to the coffee shopCongratulations! You've opened a coffee shop! Now reward yourself with a nice latte.,1
160,will we recognize our friends and family in heaven,will we see and know our family and friends in heaven,"The existence of heaven is based on belief only. If you want to recognize your family and friends, you can likewise believe that you will. If you don't want to recognize your family and friends you can easily believe that you won't. That's the beauty of belief. You can make up any scenario that suits you.",1
161,what will be the effects after banning on 500 and 1000 rupee notes,how can the ban of 500 and 1000 rupee notes increase the indian economy,"A really smart move, I must say.Now that old not will be useless. People will exchange them for new ones or deposit them in bank. What about people who have tons of black money sitting in their house? That will be useless. Yes, they will try different tricks but they will still loose a lot. I am wondering why no one ever thought of this before.",1
162,what s a good way to get a decent job without college,what are some ways to get a decent job without a college degree,There are jobs that don't require college education. Most of them require skills that don't need college. See the following:Top Paying Jobs for People with No College Degrees10 More Good Jobs with No College Degree RequiredHighest Paying Bachelors DegreesSix Figure Jobs with No 4-year Degree7 High-Paying Jobs with No Degree Required,1
163,what is the difference between soufeel and pandora bracelets,what s the difference between pandora and soufeel jewelry,"In my opinion, The Soufeel is a kind of crystal beads, But Pandora not just crystal, It can be other material. See the Pandora jewelry like this: http://www.pandahall.com/wholesa...",1
164,what does a forehead kiss mean,what does forehead kisses mean,It means everything and nothing also.He could be madly in love with you.Or you might be uninteresting at all.,1
165,what are good substitutes for soy sauce,what is a good soy sauce substitute,"Worcester Sauce - very good for Chinese cooking.Caution: use sparingly, it is very salty.Oyster sauce is good for Chinese dishes too; for cooking or as a dip.Maggi's - for marinating as well as seasoning.",1
166,how do i get a man to ask me out,how do you get men to ask you out,Just look him in the eyes...............and smile!!!Sit back and relax. This is enough for a guy to get going :),1
167,what is the difference between rational no and fractions,what is the difference between fractions and rational numbers,Fraction are in the form of a/b where a is a whole number and b is a natural number.where as ratonal number is in the form p/q where p and q are integers and q is not equal to zero ,1
168,what does surgical strike mean,what is meant by surgical strike,"In a layman's term,Surgical strikes are calculated strikes on specific areas.They target terror attacks.Small troops carry out the operation.Strikes are conducted after receiving confidential and clear information.",1
169,would donald trump be a good president,is donald trump fit to be president,"I'm not ignorant or crazy, so my answer is obvious.",1
170,what are some mind blowing safe wallets that exist that most people don t know about,what are some mind blowing wallets that most people should have,I would say WeTheWolves Smartwallet. Although mindblowing might be an over statement it does look pretty cool.,1
171,can cars run on water like stanley meyer and some australians claimed,could cars run on water,"Because water does not burn. And piping pressurized water to a car with a water wheel is inconvenient.You need a fuel with energy stored chemically- petrol,diesel,rocket fuel, battery, food to muscles. Physically- spring, compressed air, stretched or compressed rubber",1
172,is there a way to convert a ms excel macro in vba to python,how do we convent an excel micro in vb to python,"If you want to write code for Workbook in Python, You can use xlwings python library Python For Excel. Free & Open Source. Read the documentation before proceeding.",1
173,what is your favorite pokemon,whats your favorite pokemon,Used to be charizard for all the bodacious awesome battles like charizard vs magmarcharizard vs blastoisecharizard vs blazikencharizard vs dragonitecharizard vs dragonaircharizard vs articuno.Dont forget the 'As if I care' attitude.But now it evolved into MEGA CHARIZARD X.@@@@@@Actually I like these pokemon too.,1
174,why do creationists ignore evolution,why do creationists ignore all evidence for evolution,For a handful of reasons:They are brainwashed with religious dogma.They typically find the evolutionary scientists unconvincing.They feel that the holy books are more convincing than the actual evidence.,1
175,how can i stop thinking about a girl i couldn t get,what should i do if i can t stop thinking about a girl,Speak to her respectfully and with good humor or if she is unavailable or uninterested then Go find another girl to occupy your interest and attention.Seriously if you are crushing on someone unavailable you definitely need to meet a LOT more girls and get to know them until you find one who is as interested in you as you are in her.,1
176,what are acidic salts what are some examples,what are acid salts what are some examples,"Incomplete neutralisation of polybasic acids lead to the formation of acid salts. These salts can undergo neutralisation further.Acid sapts contain hydrogen .For example NaHCO₃, NaHSO₄ etc",1
177,can trump revoke the same sex marriage law,will gay marriage be overturned with donald trump as president,"No. He would have to appoint a homophobic Justice to the Supreme Court and they would have to reconsider and overturn their previous verdict. I will defer to attorneys and law professors as to the likelihood of this.I will point out that even if they did overturn gay marriage, they would likely replace it with a requirement that states provide every single benefit of marriage under civil unions.",1
178,what affects india if donald trump becomes president,what will be the impact on india if donald trump becomes the next president of america,"Though I don't agree with most of his views.He is more vocal and less diplomatic and politically right than Hillary Clinton on issue of Pakistan and China, he is not going to side with countries like Pakistan.US giving billion of dollars to Pakistan in aid it need to be stopped and checked.",1
179,what is the best way to make maths easy,how do i make math easy,"Having a rational and functional brain and a good knowledge of logic and space sight.These are the basics, also, you will need to be a hardworker and a book devourer.In the end, it worth the time spent learning this awesome science (the main one by the way).",1
180,how do you combat mental fatigue,how can i deal with brain fatigue,No alternative to sleep  and exercise but theses help:Listening to musicmeditation Going for short  walk and talking to someoneSpending time on some hobby .Power nap ,1
181,what is the difference between markup language and programming language,what is the difference between programming languages markup languages and scripting languages,Please look at this excellent answer Programming Language vs Markup Language vs Scripting Language,1
182,can we eat fish and egg together,can you eat fish and eggs together,"Eggs Benedict is often served with lobster, crab or salmon.",1
183,how can i grow my penis,what could i do to help grow my penis,"I have been helping 3-4x a day 20-30 min for 5 year. I am extremely satisfied with the results. My penis has enlarged 2 inches and girth 1 inch. My flow is strong when pissing, I do not suffer anymore from premature ejaculations and I get hard elections easily and daily. Plus I do not waike up over night to take a piss. I sleep well for at least 6 hrs straight .",1
184,what is the simplest way to die without pain,how can i die without pain,"Of old age, surrounded by your loved ones.",1
185,what are some of the best car tools,what are the best car gadgets and tools,"Everyone loves to equip their car with trendy and stylish accessories to make it more useful. Now a days, there are various gadgets and tools available for car that make your journey more easy and comfortable. Here are some of the best car gadgets and tools :USB Car ChargerDigital Tire GaugeCar Air FreshenerCar Ice ScraperCar Repair ToolsTravel Tumbler",1
186,what is the best way to start a personal tv channel,how can i start internet tv channel,"Hello:By fortune now anyone can create their own tv channel, of course I'm talking about an online TV channel. There is a new app easy to use and without any programming that allows you to create a TV channel.Features:-Easy to use-Monetize your channelTo know more about please visit my blog:Roku TV Channel Master Developer",1
187,what are good men s fashion blogs,what are the best men s fashion blogs,Mrporter.com And menstyle1.com are great to me,1
188,how is buying land on the moon a good investment why do people buy land on the moon,at 20 an acre isn t buying moon plots a solid investment,"Yes. But right now, surveying costs would be quite prohibitive. And illegal at this point due to the 1967 Moon Treaty.",1
189,what are the advantages of being an ntse scholar,what are the benefits of being an ntse scholar,"Well you get noticed in your CV, but not all the time. In the high school levels you get some discounts on coursebooks or materials, and some colleges have quotas for NTSE scholars.",1
190,what is lambda function in python and why do we need it,what are python lambda functions and how are they used,lambda functions are used to create anonymous functions without return statements.The difference from a normal function is lambda functions can create functions at runtime. more details : http://newhackerdream.blogspot.c...,1
191,my skill is drawing how can i make money out of it,how can i make money out of drawings,"Yes, you can definitely make money.Register at Canvs , and upload your work, fix price, get hired by clients, etc.",1
192,which bonds should i invest in,what are the best bonds to invest in,"What are the best bonds to buy?There are no best bonds,only in hindsight will you know best return. What is your goal?we can't help you if we have no informationBonds are all about risk/reward and what role you need them to fill",1
193,what is the difference between an internship and a fellowship,what is the difference between internship and fellowship,"An internship is a temporary job for a student with emphasis in training. Some are paid and some are unpaid.Fellowships are merit-based scholarships (funding) for the purpose of furthering education. Some may come with an internship or post-graduate work requirement, but most do not.Upvote if you like :)",1
194,how can i make my life more interesting,what should i do to make my life interesting,Unpredictability! And the below picture summarises life quite well :),1
195,does plucked hair ever stop growing back,does plucking hair stop it from growing back,No. It doesn't. Healthy follicle will keep sprouting new hair.,1
196,what could be narendra modi s next move after demonetization,what is next step after demonetization,Well we can never be sure of the next move of the modi led government but here are the some expected actions likely to take place-Legal actions against the builders for constructing megastructures without abiding by the laws.Installing fair mechanism for checking the ownership of properties of the individuals.Abolishing reservation system(not completely but to an extent) in India.,1
197,how much voter fraud goes on in us elections,is vox right that voter fraud in america is not a problem,It appears that the most egregious and common form of voter fraud is …… claims of voter fraud.http://www.newyorker.com/magazin...http://talkingpointsmemo.com/new...,1
198,how do microwave ovens work,how does a microwave oven work,"How long an answer do you want?TL;DR: A magnetron emits microwaves at about 2.4 GHz. The microwaves excite water molecules in the food, which heats them up.You can get a longer version at Microwave oven - Wikipedia.",1
199,which is the best website for studying online,which is the best website for online learning,The 37 best websites to learn something new - The Programmer's World,1
200,which is the best gate coaching institute in kerala,which is the best gate coaching centre in kerala,Here is the latest list of top gate coaching centers in Kerala. http://kerala-business-directory...,1
201,how can i stop myself thinking about my ex who left me alone after spending 2 years,how do i stop myself from contacting thinking about my ex after our breakup when i know she doesn t have any feelings for me,"Go for The Art of Living.I am telling you that you'll definitely thank me for this.P.S: I have been in this situation, my situation was even worse. I am not working for this organisation. Ref, this all I have done on Quora. How do you get over the situation when the love of your life is getting married to someone else?",1
202,what is iso 9001 2000,what does iso 9001 2000 mean,The ISO 9001:2000 is a previous version of ISO 9001:2008 Quality Management System - Requirements. This current version is also under review and a new version of the standard will be released in September.Fro more information read this article What is ISO 9001? Here is an overview of what you need to know,1
203,is singapore a country,can singapore consider as a country,"No. Singapore is a ghost town in Michigan.Singapore, Michigan - Wikipedia",1
204,which is the best site to download movies,what are the best sites to download movies from,http://storeox.com is a good choice when it comes to hollywood movies.,1
205,how can i apply pan card with initial in surname or last name for reprinting my pan card,how do i apply for pan card,"You may apply it here:https://www.onlineservices.nsdl....orFinancial & IT Service Provider, PAN Card Issuer",1
206,what can be done to end caste based reservation system in india,how can indians end the reservation system in government education and jobs,Reservation topic is not exclusively depend on the Constitution Of IndiaThere are two ways to remove reservation.(1)If the people itself stop supporting reservation system then it will be automatically removed from Constitution. (2)First remove it from constitution then from people mindset. This can take years to implementation.,1
207,how can i get meth out of my system in less than 2 days so i can pass my drug test,will the creto method get me to pass a drug screen tomarrow if i used meth today,"Mr. Kelly is correct.  I've seen it work spectacularly for some, dismally for others.  If this is for a job you want don't depend on it.  If it does work it should work for virtually any tox screen substance.",1
208,how do i find a persons real name with a picture,how can you find out someone s name from a picture,One way is by using a reverse image search.Reverse image search,1
209,why is manaphy angsty throughout in pokemon ranger and the temple of the sea,why did manaphy had a panic attack in pok mon ranger and the temple of the sea,Maybe because it IS a baby?You see its egg hatch in the movie!,1
210,which answer on quora got the most likes,which is the most upvoted answer of quora,What answers on Quora have the most upvotes?,1
211,what is the use of compressor in a refrigerator,what is the function of compressor in a refrigerator,"Expansion an compresion of gas changes its temperature allowing heat interchanger to work, a centrifugal pump won´t work for gas, a positive drive pump is required.",1
212,what is the best android games,what is the best android game to date,Best racing game are A8. NFS check the whole list Best Racing Games for AndroidHere are some top 10 android graphic game Top 10 Android graphics games,1
213,what is your favorite board game and why,what is the best board game ever,JUMANJI.....just kidding.I ould suggest level 7 escape and Robinson Crusoe: Adventure on the Cursed Island,1
214,how do i balance reactions in chemistry,how do i balance a chemical equation in chemistry,The answer is 4 AsCl3 + 3 NaBH4 = 4 AsH3 + 3 NaCl + 3 BCl3,1
215,are there any limits to friendship,is there any limit to friendship,"Yes ! Everything has a limit and friendship too. Life is guided by principles, not emotions. You never know whether his emotions will be same always, toward you.But there is exception always. Sometime you may find a friend who break all emotions / principles just for friendship. But not all are that lucky.",1
216,what are the best books for chemical engineering,what are the best books on chemical engineering,"I prefer ""Chemical engineering Thermodynamics- by K V Narayanan"".It is best book to clear your basic concepts regarding CET.",1
217,where should i start to learn programming,how do you learn to program,"Redesign your own solutions. Everything can be made better, so, after some time I like to review my old code and try different approaches to the same problem. Then I compare both approaches (new and old one) and learn from it.",1
218,what can i do if i ever spill water over my laptop,what should i do if i spill water on my laptop,"First turn off the laptop. Let it dry under the fan. If you know how to disassemble, leave the parts to dry up seperately for 2 to 3 hours. Then assemble it. It may works, if not.. go to laptop service center",1
219,what can hamsters eat besides hamster food,can hamsters eat raisins if so how harmful are they for them in any way,"There are a variety of things hamsters can each such as these fruits and veggies:BroccoliBananaPearCauliflowerChicoryPeachThey also can eat grasses, seeds, grain and some insects.If you want to get some more details check out: What Do Hamsters Eat? Find Their Perfect Diet",1
220,which is more important journey or destination,is the journey more important than the destination,Cosmic travelhttp://shivayamart.blogspot.in/,1
221,how should a good yak liver look,how should a good yak liver look like,I would suggest you to read this- 31 Cute First Date Ideas that Overwhelm Your Partner - The Two Angles,1
222,what are some good tamil newspaper,which is the best tamil newspaper,"Best Tamil Newspaper should have the trustworthy content, but now a days they cover only fake news to increase traffic.",1
223,what are the best books topics and ways to prepare for ugc net english literature,how do i prepare for ugc net english literature thoroughly,"Greetings,Most of the answers on this page are prefect. As you have asked, I can share some links with you, Read these :How do I crack the NET in three months?What should be the timetable while preparing for UGC NET?YOUTUBE VIDEOS from UGC CEC :: Cec UgcHope these link will help.",1
224,do girls date guys that are shorter than themselves,would any women out there date a man 3 4 inches shorter than you without heels,"Heck yeah, if his personnality is descent and BONUS he is cute, yeet i'd go for it for sure",1
225,which is the best available laptop for 50 000 rs,which is the best laptop to buy at price range 40 45000 rs,You can opt for the Ideapad 310.Intel Core i7 Processor (6th Gen)8 GB RAMDOS Operating System1 TB HDD15.6 inch Display,1
226,why should one choose engineering,why should i choose engineering,"Engineering is one of the most popular and potentially profitable college majors. If you're looking for reasons to study it, here you go!.Here are some of the reasons why engineering is so popular amongst the youth..Read More>>https://www.thehighereducationre...",1
227,what is the scope of pharmaceuticals in india,what is the scope of pharmacy in india,"PharmacyScope, Eligibility, Salary and Job ProspectsYou can refer to the link given above.",1
228,how would you rank the dceu,how would you rank the dceu movies,"Batman V Superman 2/10Worst movie I have ever seenJustice League 4/10One big messSuicide Squad 5.5/10A big mess with some likeable charactersWonder Woman 6.5/10Solid comic book movie, but a terrible third act. Also nothing really original.Man of Steel 7/10I don't like Superman in general, but I liked this movie, because he wasn't perfect. Third act was too long and therefore got boring",1
229,what is the difference between a blue whale and a whale shark,what are the differences between a blue whale and a whale shark,"AWW, come on, ones a whale (mammal), ones a shark( fish)",1
230,which is the best compiler for c c programming,what is the best compiler for c and c,for start you can use GCC and after some time you can use Eclipse or NetBeans,1
231,which is the highest rated movie by imdb whether hollywood or bollywood,which film has the highest imdb rating,"As of right now - ""The Shawshank Redemption"" follwed by ""The Godfather"" and ""The Godfather part II""IMDb Top 250",1
232,why do people choose open carry as opposed to concealed carry,why do people prefer to open carry,"Terrorists only perform their mass shootings in ""Gun Free Zones"". No Terrorist would want to shoot people if they could see that everyone was armed.",1
233,what is the best area of tokyo for a tourist to stay,what are the best tokyo neighborhoods to stay in as a traveler why,"Shinjuku area. Shinjuku is very connected to many areas of Tokyo. We stayed in Shibuya ang it is way down south so train ticket to far north like Sensoji temple and Skytree was expensive.Shinjuku is near to Shibuya, Yoyogi, and Harajuku.",1
234,which is the best restaurant in the mumbai,which is the best restaurant in mumbai,"These are my favourites:Kailash Parbat, ColabaHotel Samrat , ChurchgateBalwas Restaurant, ChurchgateClassic Restaurant, MatungaHotel Sadguru, ChemburUtsav Restaurant, PowaiThambi's Restaurant, MulundHotel Navratna, VashiHotel Acchija, GhatkoparHotel Sadanand, Worli",1
235,how can i celebrate new year,how should i celebrate new year,"I could be a boring person to answer thing question. I haven't got anything planned so far. And it's in a day.Well, you could go outside on streets, roam around, party, have long drives, scream in the air, 'Happy new year!' at 00:00 tomorrow.I would prefer to be with my bed, with the TV turned on, watching some romcom with family or just sleep. Sleep! ♥",1
236,how do i fix quickbooks errors 6150 and 1006,how do i resolve a quickbooks error 6150 1006,"Please follow this article, http://support.quickbooks.intuit...>SLN43286 if you still encounter the error please contact me on 1–800–941–4384",1
237,what does it feel like to be a chartered accountant,what is like to be a chartered accountant in india,"Once the elation of clearing the exams settles down, you realize that this was the easiest of the things... and now the real exam (of life as a CA) begins!!",1
238,what is frozen shoulder,what is frozen shoulder how one can cure frozen shoulder naturally,Frozen Shoulder sometimes also called as adhesive capsulitis of the shoulder its a condition where a shoulder becomes painful and stiff. Movements of shoulders gradually reduces and sometimes its completely frozen. It is commonly seen in people over 40 years of age and above especially in diabetics and hypothyroidism patients. Lets know how one can naturally cure frozen shoulder ?,1
239,how do i open software company,how do i open a software company,Here is my way of how to do it:How to START a Custom Software Development COMPANY from HOMEMy advice is:find clientsgrowonly register when you have several steady projects runningdo all the rest afterwardsGood luck!,1
240,how do i find all of my gmail accounts,how do i get a list of all my gmail accounts,By people giving them to you.Brainy Versatility,1
241,why are people self centered,why are people now so self centered,"If the self-centeredness is excessive or pathological, it's because their parents are self-centered and did not fulfill their naturally selfish childhood needs. Children are selfish, but they need to be, to get what they need and to develop properly and naturally start focusing on other people. If these childhood needs are not met, these people should go to therapy.",1
242,should crafts be considered a fine art or in a category of its own,should fine art and crafts be separated,"They already are separated for better or worse. Although great art requires great craftsmanship and you'll find that artists are proud of the quality of their craftsmanship. However, over the years the word 'craft' has become a demeaning word when used in art, which is quite a shame.",1
243,i am always there for my boyfriend but he s never there for me when i am feeling down does he really love me,does my boyfriend really love me when he knows that i am sad but he s never there for me,"It could be that he loves you, but that he doesn't give you the emotional support you need. Just because someone doesn't give you what you need doesn't mean they don't love you. It just means that you have needs that aren't being met. Only you and your boyfriend know whether he is capable of meeting your needs in the long run. You have to talk it over with him and make a decision accordingly.",1
244,can somebody just tell me what to eat hour by hour to lose weight i want to lose 30 pounds,what should you do if you want to lose a lot of weight,"Stop eating sugar.I followed these guidelines for a month in an experiment to see if my anxiety decreased, but it actually made me lose 5 pounds in about 10 days. I hadn't realized how dependent I was on sugar for meals — white rice, bread, etc.",1
245,what s the difference between post structuralism and structuralism,what is the difference between structuralism and poststructuralism,"Basically the same as that between hope and desperation. Structuralism makes sense, even if it's probably wrongheaded, but poststructuralism doesn't even want to be right.",1
246,how does this demonetisation of 500 1000 rupee notes help to reduce the price of real estate,how does the demonetized notes of 500 and 1000 effect the real estate,That depends on the regions. Tier 1 cities will see minimal drop as there is good inventory for first sale and there is huge population that pays by bank transactions. Moreover the cities having higher circle rates like Chandigarh won't get impacted much.Villages and Smaller cities will bear majority of the heat. Moreover states having much lower circle rates than market will be affected worse.,1
247,what game of thrones character do you most relate to why,which game of thrones character do you see yourself as,Oh come on !  Most of us are Ser Jorah Mormont.. Aren't we?!​,1
248,what is the best answer for why should we hire you,why do i hire you,"Well, this question can have different answers. I will tell you which I like most… ####Answer of this question should look like as if you're speaking by yourself, not copied from any where.SO YOU CAN ANSWER LIKE THIS !!I'm skilled, I want opportunity to show case my skills & if you hire me it will be a great platfrom to show case my skills.https://www.linkedin.com/in/ajay...",1
249,how will be the banning of 500 and 1000 rupees notes will have impact on real estate and construction industry in india,what will be the impact of scrapping of 500 and 1000 rupee notes on the real estate market,That depends on the regions. Tier 1 cities will see minimal drop as there is good inventory for first sale and there is huge population that pays by bank transactions. Moreover the cities having higher circle rates like Chandigarh won't get impacted much.Villages and Smaller cities will bear majority of the heat. Moreover states having much lower circle rates than market will be affected worse.,1
250,how do celebrities wear different costumes in every event will they again wear the clothes that were wear by them before,how is it that celebrities rarely wear the same clothes and accessories what do they do with them after wearing them once,TheCelebrityDresses carries many celebrity dress replicas which are cheap.However the dresses they make are very closet to the one that celebrities wear.,1
251,what is the best online coach for medical post graduate entrance exam preparation,which is the best coaching class for the preparation of medical entrance exams in india ug and pg,What is the best option for a student graduating grade 12 abroad and is interested in doing medicine in India?,1
252,how do i stop my puppy from chewing my shoes,how do you stop your beagle pointer mix puppy from biting your shoes,"You can try bitter apple spray plus chew toys. Throw in kindness based training …maybe it will work. Read up on the training. Most people do it wrong.If they are chewing, they are bored, teething or both.We just put the stuff we like up, out of reach. Eventually, they outgrow it.",1
253,how can i stop caring too much about other people s opinions,what should i do if i care too much about others opinion,Boy that's tough because you obviously have a big heart.  You have to practice in your mind to ignore or let go immediately things they say to hurt or offend you.  People especially family can be very critical of just the slightest improprieties of the human nature.   No you are a good soul and the most important part is you like and accept yourself as you are.,1
254,what are some lessons from history that we are not learning,what lessons are we not learning from history,"The real history behind ""Christopher Columbus"", oh, I'm sorry, ""Salvador Fernandes Zarco""*.",1
255,what is genre,what is a genre,"Oh that would have to be Trad Jazz. I've never been able to get into it at all, love Jazz Funk, even like messing around with Jazzy riffs on my sax, but Trad is way over my head, it just kinda sounds like lots of drunk, crazy guys having a jam!",1
256,why do non deserving people get everything and those who do struggle very hard for years,why do some people get everything easily and some people work hard and struggle for years to get what they deserve,Either they were born in Switzerland or they had rich grandparents.If most of the people you are exposed to have been getting the basics right for 3 generations you grow up with the right examples to follow.,1
257,is it bad to be a sensitive person,is being an sensitive person a bad thing,"No, it's not a bad thing. It works very well in some professions such as teaching and nursing. It doesn't work well in legal work. Being sensitive is a two-edged sword. It helps you empathize, but it also makes you susceptible to being hurt.",1
258,how do you know if it s lust or love,how do i really know if i love or lust after a girl,"If you love a flower, you will water it.if you have a lust over, you will pluck it.",1
259,what are some ways to root an android device,how can i root my android 5 1 device,You can try installing CWM recovery or TWRP recovery and then try to flash the compressed root file. This is just one way to install root. There are several other methods for rooting your phone. Follow this link on How To Root: http://lookapk.com/how-to-root,1
260,how can i restore a mobile number only facebook messenger account,how do i delete the facebook messenger account from an phone without the facebook account,"YES, YOU CAN! See this article:http://android.trendolizer.com/2...",1
261,is nostalgia really a good thing,is nostalgia a good thing,"If that slight sadness that comes with being nostalgic doesn't make you yearn for your past or make you homesick and evoke feelings of regret inside you henceforth deteriorating your present, its good!",1
262,if you could have your life over again what would you do differently,if you could start your life over to make things different would you,Giving people a life so that they don't intrude into mine.,1
263,is israel safe for travel,how do you stay safe in israel,"Safe like Switzerland, I say. You can walk day and night alone. In Tel Aviv, many buildings don't even close the entrance door, for example.The security control to get in and out of Israel is the biggest one you see. But once you're in Israeli territory, only compliments.And Israelis are pretty friendly, helpful and open-minded. Nowhere else in the Middle East you such open-mindedness.",1
264,why is lowflation bad for the economy,is inflation bad or good for the economy,"It isn't. In moderation. The U.S. And Europe are currently seeking levels of inflation (1.7%-2.0%) to sustain consumption and economic activity. But when you are dealing with much higher levels of inflation, there are dire consequences to an economy, especially when a central bank fights inflation with higher interest rates.",1
265,is astrology real,is astrology a real science,"Astrology is complete Nonsense and has No basis in Science.Astrology and scienceThere is no proof that date-time of birth or position of planets have any impact on a Human being. I am sure this response will be down-voted. However, science is not done based on democratic process. Instead it uses Scientific method.",1
266,how do you start a business with no money,how do you start a business without any money,"Start flipping and/or get a job, don't buy useless things and save money so that you can kickstart your awesome business.",1
267,how do i cancel quora,how does one withdraw from quora,"Click on your profile picture and click on Settings, from there go to 'Privacy'. At the end of the list there you'll find 'Delete or Deactivate Your Account'.",1
268,what should i know before investing in bitcoin,why should i buy bitcoin,"because most people do not know what bitcoin is, and when most people know what it is, it is too late because it will be too expensive.Where and How to Buy Bitcoin via PayPal or Bank Account?",1
